          N  π estimate   Total Runtime (s)  Absolute Error of π Estimate  Standard Deviation of π Estimates  Time per Sample (s)  Samples per Second
       1000     3.121600           0.001415                      0.019993                           0.046723             0.000141         7069.226019
      10000     3.152400           0.001406                      0.010807                           0.014247             0.000141         7110.894198
     100000     3.142696           0.001528                      0.001103                           0.005367             0.000153         6545.929738
    1000000     3.141758           0.010069                      0.000166                           0.001496             0.001007          993.105947
   10000000     3.141348           0.097019                      0.000245                           0.000641             0.009702          103.072505
  100000000     3.141579           0.913853                      0.000013                           0.000138             0.091385           10.942676
 1000000000     3.141597           8.403501                      0.000004                           0.000051             0.840350            1.189980
10000000000     3.141594          82.615627                      0.000001                           0.000017             8.261563            0.121042
