N,π estimate ,Total Runtime (s),Absolute Error of π Estimate,Standard Deviation of π Estimates,Time per Sample (s),Samples per Second
1000,3.1216000000000004,0.00141458201687783,0.01999265358979274,0.04672301360143632,0.000141458201687783,7069.226019196346
10000,3.152399999999999,0.0014062928967177868,0.010807346410206087,0.014246964588992283,0.00014062928967177867,7110.894198029067
100000,3.142696,0.001527666870970279,0.001103346410206818,0.005366837429995391,0.0001527666870970279,6545.929737710828
1000000,3.1417583999999996,0.010069419106002897,0.00016574641020650205,0.0014957221132282333,0.0010069419106002897,993.1059472972464
10000000,3.1413476399999998,0.09701908397255465,0.0002450135897933414,0.0006406852943528753,0.009701908397255465,103.07250481594798
100000000,3.141579436,0.9138532519573346,1.3217589793335094e-05,0.00013794424665061143,0.09138532519573346,10.942675947786498
1000000000,3.141596916,8.403501084889285,4.262410207012124e-06,5.087520496271888e-05,0.8403501084889285,1.18998021169789
10000000000,3.14159386352,82.61562725086696,1.2099302066914674e-06,1.7299442503685947e-05,8.261562725086696,0.12104247504693563
