Processes,Runtime (s),Total Samples,Throughput (samples/s)
1,3.141,100000000,31835332
2,1.68,100000000,59521374
4,0.862,100000000,116046354
8,0.514,100000000,194616465
16,0.319,100000000,313360174
32,0.281,100000000,356369105
