dt,cpu_time_s,gpu_time_s,speedup_cpu_over_gpu
6.250000000000000000e-02,2.949079498648643494e-05,1.452154945582151413e-03,2.030829773104131722e-02
3.125000000000000000e-02,3.148987889289855957e-05,2.744008088484406471e-03,1.147586955922251344e-02
1.562500000000000000e-02,5.096080712974071503e-05,5.418825196102261543e-03,9.404401375854791467e-03
7.812500000000000000e-03,9.470083750784397125e-05,1.081553008407354355e-02,8.756005186217928962e-03
3.906250000000000000e-03,1.795019488781690598e-04,2.162907202728092670e-02,8.299105419398565553e-03
1.953125000000000000e-03,3.571028355509042740e-04,4.313809121958911419e-02,8.278132514791080102e-03
9.765625000000000000e-04,6.980469916015863419e-04,8.690612902864813805e-02,8.032195190416074188e-03
