dt,cpu_time_s,gpu_time_s,speedup_cpu_over_gpu
6.250000000000000000e-02,2.032984048128128052e-05,6.018159911036491394e-04,3.378082467366661651e-02
3.125000000000000000e-02,1.535983756184577942e-05,9.868701454252004623e-04,1.556419315453896716e-02
1.562500000000000000e-02,2.213986590504646301e-05,1.932650106027722359e-03,1.145570314874620396e-02
7.812500000000000000e-03,3.760983236134052277e-05,3.823189064860343933e-03,9.837293349423816696e-03
3.906250000000000000e-03,7.002102211117744446e-05,7.568187080323696136e-03,9.252020512709445768e-03
1.953125000000000000e-03,1.330019440501928329e-04,1.509068394079804420e-02,8.813513328618507656e-03
9.765625000000000000e-04,2.582829911261796951e-04,3.020239784382283688e-02,8.551737926960827768e-03
