dt,error
6.250000000000000000e-02,2.510975451020525107e-04
3.125000000000000000e-02,6.130220242739348180e-05
1.562500000000000000e-02,1.514587941381373426e-05
7.812500000000000000e-03,3.764278299178691611e-06
3.906250000000000000e-03,9.383121931660909354e-07
1.953125000000000000e-03,2.342344066486035103e-07
9.765625000000000000e-04,5.851570950010653860e-08
