dt,error
6.250000000000000000e-02,1.180531071964951995e-02
3.125000000000000000e-02,5.824151915125697077e-03
1.562500000000000000e-02,2.892916927534960880e-03
7.812500000000000000e-03,1.441725249405167997e-03
3.906250000000000000e-03,7.196862799060954607e-04
1.953125000000000000e-03,3.595499169070093259e-04
9.765625000000000000e-04,1.797017601711803358e-04
