method,cpu_time,gpu_time,speedup_cpu_over_gpu
euler,0.0001310619991272688,0.015201214933767915,0.008621810802512122
rk2,0.0002582829911261797,0.030202397843822837,0.008551737926960828
rk4,0.0006980469916015863,0.08690612902864814,0.008032195190416074
