dt,error
6.250000000000000000e-02,4.928112862234712566e-08
3.125000000000000000e-02,3.000808712627645036e-09
1.562500000000000000e-02,1.851229169957946397e-10
7.812500000000000000e-03,1.149497164121271453e-11
3.906250000000000000e-03,7.159273174295321951e-13
1.953125000000000000e-03,4.451994328746877727e-14
9.765625000000000000e-04,2.053912595556539600e-15
