dt,cpu_time_s,gpu_time_s,speedup_cpu_over_gpu
6.250000000000000000e-02,1.372001133859157562e-05,3.783840220421552658e-04,3.625948914159764919e-02
3.125000000000000000e-02,1.079984940588474274e-05,5.056750960648059845e-04,2.135728947288450738e-02
1.562500000000000000e-02,1.233001239597797394e-05,9.737100917845964432e-04,1.266291938433109290e-02
7.812500000000000000e-03,2.270098775625228882e-05,1.933369087055325508e-03,1.174167307641589206e-02
3.906250000000000000e-03,3.524101339280605316e-05,3.808178938925266266e-03,9.254032953281253124e-03
1.953125000000000000e-03,6.654998287558555603e-05,7.617047987878322601e-03,8.736978286272107860e-03
9.765625000000000000e-04,1.310619991272687912e-04,1.520121493376791477e-02,8.621810802512121577e-03
