N,π estimate ,Total Runtime (s),Absolute Error of π Estimate,Standard Deviation of π Estimates,Time per Sample (s),Samples per Second
1000,3.1768000000000005,0.0010802910546772182,0.035207346410207396,0.05004957542277451,1.0802910546772182e-07,9256764.6068197
10000,3.1476800000000003,0.0012352081830613315,0.0060873464102071395,0.017802291987269497,1.2352081830613316e-08,80958012.88505124
100000,3.140116,0.0016600419767200947,0.0014766535897932087,0.0037843657328540214,1.6600419767200948e-09,602394405.6979791
1000000,3.1416612,0.01096566894557327,6.854641020703767e-05,0.0014623718268621238,1.096566894557327e-09,911937069.1960292
10000000,3.1416462,0.0899686249322258,5.3546410206717354e-05,0.0005164035708629842,8.996862493222579e-10,1111498592.7075238
100000000,3.141577608,0.8318051259266213,1.5045589793150072e-05,0.0002282370752004079,8.318051259266212e-10,1202204661.6820395
1000000000,3.1415966556,7.921550790953916,4.002010206782813e-06,4.1592956344066477e-05,7.921550790953915e-10,1262379080.0432143
10000000000,3.1415948306800003,88.47663928894326,2.177090207222676e-06,9.174293131664599e-06,8.847663928894326e-10,1130241844.6684468
